Player,Pos,Team                     Currently With,Age                     At Signing,Start,End,Yrs,Value,AAV,Signing Bonus,2-Year Cash,3-Year Cash
Giancarlo Stanton,RF,NYY                  NYY,25,2015,2027,13,"$325,000,000.00","$25,000,000.00",,"$15,550,000.00","$30,050,000.00"
Gerrit Cole,SP,NYY                  NYY,29,2020,2028,9,"$324,000,000.00","$36,000,000.00",,"$49,333,333.00","$85,333,333.00"
Rafael Devers,3B,SF                  SF,26,2023,2033,10,"$313,500,000.00","$31,350,000.00","$20,000,000.00","$47,500,000.00","$62,942,608.00"
Trea Turner,SS,PHI                  PHI,29,2023,2033,11,"$300,000,000.00","$27,272,727.00",,"$54,595,454.00","$81,868,181.00"
Bobby Witt Jr.,SS,KC                  KC,23,2024,2037,11,"$288,777,777.00","$26,252,525.00","$7,777,777.00","$16,927,777.00","$29,927,777.00"
Xander Bogaerts,2B,SD                  SD,30,2023,2033,11,"$280,000,000.00","$25,454,545.00","$5,000,000.00","$55,000,000.00","$80,000,000.00"
Nolan Arenado,3B,ARI                  ARI,27,2019,2027,8,"$260,000,000.00","$32,500,000.00",,"$39,037,963.00","$39,658,463.00"
Kyle Tucker,RF,LAD                  LAD,28,2026,2029,4,"$240,000,000.00","$60,000,000.00","$64,000,000.00","$110,000,000.00","$160,000,000.00"
Max Fried,SP,NYY                  NYY,30,2025,2032,8,"$218,000,000.00","$27,250,000.00","$20,000,000.00","$44,000,000.00","$73,000,000.00"
Austin Riley,3B,ATL                  ATL,25,2023,2033,10,"$212,000,000.00","$21,200,000.00",,"$36,000,000.00","$58,000,000.00"
Dylan Cease,SP,TOR                  TOR,29,2026,2032,7,"$210,000,000.00","$30,000,000.00","$23,000,000.00","$56,000,000.00","$76,000,000.00"
Corbin Burnes,SP,ARI                  ARI,30,2025,2030,6,"$210,000,000.00","$35,000,000.00","$10,000,000.00","$50,000,000.00","$74,000,000.00"
Julio Rodriguez,CF,SEA                  SEA,21,2023,2034,12,"$209,300,000.00","$17,441,667.00","$15,000,000.00","$29,325,000.00","$47,350,000.00"
Carlos Correa,SS,HOU                  HOU,28,2023,2032,6,"$200,000,000.00","$33,333,333.00",,"$72,100,000.00","$80,519,355.00"
Christian Yelich,LF,MIL                  MIL,28,2020,2029,7,"$188,500,000.00","$26,928,571.00",,"$18,629,630.00","$40,629,630.00"
Jacob deGrom,SP,TEX                  TEX,34,2023,2027,5,"$185,000,000.00","$37,000,000.00",,"$70,000,000.00","$110,100,000.00"
Blake Snell,SP,LAD                  LAD,31,2025,2030,5,"$182,000,000.00","$36,400,000.00","$52,000,000.00","$77,600,000.00","$90,400,000.00"
Kris Bryant,1B,COL                  COL,30,2022,2028,7,"$182,000,000.00","$26,000,000.00","$7,000,000.00","$51,000,000.00","$78,000,000.00"
Wander Franco,SS,TB                  TB,20,2022,2033,11,"$182,000,000.00","$16,545,455.00","$5,000,000.00","$7,483,856.00","$8,042,996.00"
Willy Adames,SS,SF                  SF,29,2025,2031,7,"$182,000,000.00","$26,000,000.00","$22,000,000.00","$42,000,000.00","$70,000,000.00"
Dansby Swanson,SS,CHC                  CHC,28,2023,2029,7,"$177,000,000.00","$25,285,714.00","$7,000,000.00","$45,000,000.00","$72,000,000.00"
Alex Bregman,3B,CHC                  CHC,31,2026,2030,5,"$175,000,000.00","$35,000,000.00",,"$45,000,000.00","$70,000,000.00"
